Date,AA,AAPL,AXP,BA,CAT,CSCO,DD,DIS,EK,FDX,GE,GT,HPQ,IBM,IP,JNJ,JPM,KO,MCD,MMM,MO,MRK,MSFT,PG,T,UTX,WMT
,"-0.076,","-0.04,","0.012,","-0.034,","0.065,","0.03,","0.082,","0.044,","-0.014,","0.037,","0.038,","0.162,","0.053,","0.046,","0.012,","0.051,","0.036,","0.059,","0.043,","0.031,","0.076,","0.163,","-0.004,","0.03,","0.024,","0.059,","0.017,"
,"-0.061,","0.194,","-0.052,","-0.022,","-0.082,","-0.066,","-0.03,","0.03,","0.026,","-0.029,","-0.01,","0.053,","-0.066,","-0.052,","-0.068,","0.02,","-0.035,","-0.003,","0.01,","0.028,","0.045,","-0.127,","-0.016,","-0.029,","-0.066,","-0.026,","-0.008,"
,"0.094,","0.167,","0.015,","0.091,","0.067,","-0.034,","0.128,","-0.024,","0.027,","0.022,","-0.02,","-0.063,","0.062,","-0.007,","-0.039,","0.018,","-0.021,","0.031,","0.022,","0,","0.028,","0.13,","-0.04,","-0.003,","0.012,","-0.004,","-0.015,"
,"-0.054,","-0.071,","-0.049,","0.063,","-0.038,","0.027,","-0.039,","0.028,","-0.043,","-0.038,","0.024,","-0.077,","0.059,","-0.013,","-0.015,","0.024,","-0.054,","-0.02,","-0.059,","0.021,","0.007,","0.033,","-0.039,","-0.002,","-0.015,","0.018,","-0.026,"
,"-0.045,","-0.135,","0.026,","0.018,","-0.033,","-0.035,","-0.081,","-0.081,","-0.232,","-0.096,","0.004,","-0.111,","-0.067,","-0.164,","-0.068,","0.022,","0.036,","0.042,","-0.059,","-0.108,","-0.006,","0.047,","0.047,","0.027,","0.019,","0,","-0.059,"
,"-0.061,","0.103,","0.022,","0.078,","0.069,","0.123,","-0.005,","0.039,","0.061,","0.053,","0.008,","0.212,","0.1,","-0.008,","-0.053,","-0.017,","0.007,","0.027,","0.056,","0.008,","0.034,","-0.043,","0.023,","0.018,","-0.018,","0.053,","0.005,"
,"-0.036,","-0.074,","-0.01,","0.033,","0.013,","-0.016,","-0.075,","-0.083,","0.022,","-0.093,","-0.044,","0.035,","0.048,","-0.018,","-0.062,","-0.031,","-0.012,","-0.058,","-0.103,","-0.057,","-0.027,","-0.039,","-0.037,","-0.043,","0.016,","-0.037,","0.021,"
,"0.073,","0.159,","0.033,","0,","0.137,","0.004,","-0.008,","0.018,","-0.004,","0.038,","-0.004,","0.168,","0.047,","0.125,","0.046,","-0.016,","0.005,","0.048,","0.123,","0.037,","0.035,","0.008,","0.031,","0.06,","0.044,","-0.013,","0.024,"
,"-0.04,","0.099,","0.005,","0.019,","0.029,","-0.08,","-0.065,","-0.018,","-0.088,","-0.031,","-0.026,","-0.035,","0.128,","-0.032,","-0.016,","-0.004,","-0.036,","0.006,","0.041,","-0.046,","0.056,","-0.079,","0.072,","-0.003,","-0.015,","-0.01,","-0.086,"
,"-0.088,","0.143,","0.04,","0.014,","0.059,","0.017,","-0.01,","-0.042,","-0.002,","0.071,","0.008,","-0.072,","0.055,","-0.005,","-0.034,","-0.002,","0.001,","-0.012,","0.032,","0.031,","0.054,","-0.036,","-0.06,","0.072,","-0.004,","0.037,","-0.025,"
,"-0.005,","0.074,","-0.008,","-0.049,","-0.101,","-0.026,","0.064,","0.01,","-0.089,","0.055,","0.007,","0.003,","-0.04,","0.021,","-0.021,","-0.01,","0.09,","-0.009,","-0.057,","0.036,","0.018,","0.037,","-0.001,","-0.053,","0.009,","-0.011,","0.08,"
,"0.135,","0.178,","0.033,","0.059,","0.099,","0.005,","0.035,","0.023,","0.095,","0.062,","0.053,","0.095,","0.058,","0.088,","0.09,","-0.009,","0.045,","0.004,","0.093,","0.038,","-0.03,","0.055,","0.08,","0.021,","0.044,","0.054,","0.027,"
,"0.079,","0.06,","0.001,","0.03,","0,","-0.024,","-0.006,","-0.028,","-0.024,","0.06,","-0.012,","0.015,","-0.032,","-0.075,","0.066,","-0.027,","0.038,","-0.056,","-0.004,","-0.013,","0.037,","0.082,","-0.055,","0.012,","-0.017,","0.038,","-0.033,"
,"0.065,","0.05,","0.022,","-0.027,","0.18,","0.085,","-0.079,","0.056,","0.073,","-0.022,","-0.066,","-0.1,","0.089,","-0.011,","-0.029,","-0.042,","0.01,","0.027,","0.038,","-0.061,","-0.032,","0.085,","0.076,","0.028,","0.074,","0.044,","-0.015,"
,"-0.065,","-0.093,","0.027,","0.069,","0.076,","0.09,","0.037,","0.106,","0.118,","0.06,","0.011,","-0.084,","0.052,","-0.011,","0.012,","0.007,","0.035,","0.014,","-0.003,","0.018,","-0.005,","0.01,","-0.042,","0.012,","0.063,","0.006,","-0.016,"
,"0.042,","-0.084,","-0.025,","0.072,","-0.017,","0.071,","0.049,","-0.004,","0.014,","0.054,","0.058,","0.01,","0.005,","0.028,","0.055,","0.027,","0.012,","0.005,","-0.016,","0.028,","-0.004,","0.022,","0.012,","-0.038,","-0.02,","-0.009,","0.045,"
,"0.105,","0.122,","0.026,","0.071,","0.058,","-0.033,","0.045,","0.003,","-0.052,","0.019,","-0.006,","-0.033,","-0.013,","-0.002,","0.052,","-0.01,","0.099,","0.002,","0.006,","0.129,","0.033,","-0.023,","-0.113,","0.016,","-0.019,","0.083,","-0.047,"
,"-0.057,","-0.151,","0.01,","0.001,","-0.037,","-0.061,","-0.028,","0.091,","-0.097,","-0.051,","-0.009,","-0.091,","-0.003,","-0.026,","-0.058,","0.034,","-0.06,","0.049,","-0.041,","-0.015,","-0.011,","-0.022,","-0.058,","-0.068,","-0.006,","-0.001,","0.08,"
,"0.02,","-0.042,","-0.021,","-0.016,","0.021,","-0.008,","-0.022,","-0.016,","-0.014,","0.07,","-0.031,","-0.127,","-0.019,","-0.039,","-0.049,","-0.005,","-0.015,","-0.016,","0.013,","-0.035,","0.027,","0.094,","0.029,","0.025,","0.07,","0.014,","-0.006,"
,"-0.074,","0.187,","-0.019,","-0.055,","-0.044,","-0.084,","-0.046,","-0.01,","-0.064,","-0.104,","-0.008,","-0.009,","0.007,","0.008,","0.063,","0.044,","0.095,","0.035,","0.053,","-0.128,","0.089,","0.105,","0.033,","0.017,","0.088,","-0.019,","-0.076,"
,"-0.041,","-0.002,","0.009,","-0.029,","-0.064,","0.23,","0.017,","-0.001,","-0.044,","-0.035,","0.042,","0.236,","0.146,","0.05,","0.02,","0.04,","0.001,","0.007,","0.014,","0.025,","0.044,","0.016,","0.072,","0.101,","0.038,","0.013,","0.009,"
,"-0.019,","0.135,","0.067,","0.053,","-0.008,","0.045,","0.072,","0.043,","0.053,","0.077,","0.044,","0.066,","0.006,","0.012,","-0.004,","0.004,","0.029,","0.004,","0.089,","0.038,","-0.074,","0.033,","0.064,","0.001,","0.046,","0.01,","0.103,"
,"0.031,","0.053,","0.034,","0.013,","-0.073,","0.05,","0.069,","0.018,","0.101,","0.054,","-0.006,","0.057,","0.056,","0.127,","-0.037,","0.038,","0.017,","0.046,","0.072,","0.059,","0.063,","0.084,","0.05,","0.028,","0.063,","0.037,","-0.001,"
,"0.084,","0.13,","0.016,","0.112,","0.022,","0.115,","0.033,","0.051,","0.066,","0.008,","0.005,","0.099,","0.019,","-0.001,","0,","-0.017,","-0.024,","0.009,","0.026,","0.039,","0.035,","-0.02,","0.026,","-0.009,","-0.01,","-0.014,","-0.065,"
,"-0.036,","-0.074,","0.033,","0.004,","-0.011,","0.016,","0.038,","0.046,","-0.009,","-0.058,","0.062,","0.246,","0.046,","0.057,","0.03,","0.002,","0.044,","0.03,","0.056,","-0.043,","0.029,","-0.012,","0.017,","0.024,","0.054,","-0.031,","0.005,"
,"0.082,","0.01,","-0.038,","0.008,","0.05,","-0.026,","0.017,","0.026,","0.002,","0.016,","-0.031,","0.176,","0.051,","0.021,","-0.012,","0.012,","0.062,","-0.008,","0.001,","-0.047,","0.019,","0.026,","0.033,","0.014,","0.064,","0.088,","0.033,"
,"0.034,","-0.013,","-0.023,","-0.022,","0.006,","-0.026,","0.031,","-0.026,","-0.077,","0.035,","-0.024,","-0.003,","-0.091,","-0.06,","0.075,","-0.052,","-0.03,","-0.025,","-0.015,","0.003,","-0.036,","-0.013,","-0.084,","-0.021,","-0.022,","-0.031,","0.013,"
,"0.015,","0.098,","-0.008,","0.019,","0.04,","-0.016,","-0.026,","0.005,","-0.055,","-0.059,","0.013,","0.267,","0.022,","0.014,","0.011,","-0.042,","-0.02,","0.036,","0.031,","0.032,","0.052,","0.009,","-0.011,","-0.005,","0.071,","-0.01,","-0.024,"
,"0.047,","0.074,","0.079,","0.046,","0.088,","0.047,","-0.005,","0.016,","0.104,","-0.018,","0.042,","0.066,","0.05,","0.084,","0.036,","0.066,","0.085,","0.087,","0.072,","0.083,","0.046,","0.165,","0.074,","0.025,","-0.009,","0.033,","0.021,"
,"0.169,","0.214,","0.071,","0.086,","0.082,","0.007,","0.072,","0.013,","0.028,","0.059,","0.02,","0.066,","0.085,","0.047,","0.045,","-0.008,","-0.005,","0.015,","0.047,","0.069,","0.032,","0.02,","0.028,","-0.013,","0.067,","0.055,","-0.002,"
,"-0.018,","0.007,","-0.058,","-0.044,","-0.004,","0.035,","-0.028,","-0.037,","0.097,","-0.005,","0.026,","-0.02,","-0.022,","-0.013,","-0.003,","-0.026,","-0.065,","-0.006,","0.004,","-0.013,","-0.003,","-0.043,","-0.04,","-0.037,","0.004,","0.005,","0.011,"
,"-0.058,","0.08,","-0.041,","0.076,","0.011,","0.038,","-0.081,","-0.033,","-0.093,","-0.002,","0.012,","-0.174,","0.032,","0.051,","-0.051,","-0.018,","-0.084,","-0.004,","-0.057,","0.024,","-0.053,","-0.003,","-0.017,","0.017,","-0.048,","0.029,","-0.045,"
,"-0.039,","0.051,","0.001,","-0.062,","-0.038,","0.104,","0.051,","0.018,","0.056,","-0.01,","0.003,","-0.037,","0.072,","0.058,","-0.046,","0.028,","0.012,","0.032,","0.029,","0.029,","0.044,","0.01,","-0.005,","0.056,","0.018,","0.027,","-0.046,"
,"0.071,","0.108,","0.013,","0.086,","0.035,","0.038,","0.017,","0.023,","0.004,","-0.044,","0.072,","0.099,","0.011,","0.01,","0.022,","0.063,","0.029,","0.075,","0.106,","0.028,","0.013,","0.038,","0.025,","0.077,","0.061,","0.078,","0,"
,"0.016,","0.238,","0.029,","-0.061,","-0.044,","-0.002,","-0.001,","0.007,","0.08,","-0.013,","-0.006,","-0.009,","0.038,","-0.014,","0.03,","-0.008,","0.034,","0.075,","0.097,","-0.077,","0.049,","0.127,","0.25,","-0.007,","-0.004,","-0.048,","0.036,"
,"-0.081,","-0.041,","-0.032,","-0.058,","-0.036,","-0.152,","-0.06,","-0.043,","-0.181,","-0.047,","-0.07,","-0.046,","-0.01,","-0.091,","-0.08,","0.046,","-0.029,","0.011,","0.004,","-0.03,","0.063,","0.019,","-0.084,","0.064,","-0.086,","-0.02,","0.06,"
,"0.005,","0.087,","-0.118,","-0.055,","0.009,","-0.034,","-0.045,","-0.016,","-0.069,","-0.094,","-0.023,","-0.018,","-0.012,","0.028,","-0.041,","-0.015,","-0.043,","-0.012,","0.008,","0.013,","-0.016,","-0.015,","0.059,","-0.008,","0.088,","0.024,","-0.003,"
,"-0.095,","-0.317,","-0.052,","-0.049,","-0.016,","-0.095,","0.025,","-0.076,","-0.089,","0.047,","-0.046,","-0.107,","-0.134,","-0.009,","-0.006,","-0.053,","0.095,","-0.039,","-0.09,","-0.055,","0.003,","-0.207,","-0.084,","-0.104,","-0.065,","-0.043,","0.067,"
,"0.128,","-0.076,","-0.139,","0,","0.019,","-0.004,","0.036,","0.086,","-0.148,","-0.056,","-0.054,","0.075,","0.093,","0.067,","-0.008,","-0.012,","-0.142,","-0.009,","0.017,","-0.009,","-0.035,","-0.039,","-0.162,","0.012,","-0.095,","-0.033,","-0.023,"
,"-0.029,","0.148,","0.033,","-0.102,","0.082,","-0.012,","0.007,","-0.032,","0.04,","0.053,","0.117,","-0.048,","-0.043,","0.011,","-0.142,","0.047,","0.056,","0.048,","0.031,","0.01,","-0.005,","-0.136,","0.043,","0.059,","0.1,","-0.024,","0.067,"
,"-0.031,","0.212,","0.103,","0.141,","0.051,","0.064,","0.046,","0.034,","0.013,","0.035,","-0.116,","0.038,","0.015,","0.048,","-0.038,","0.034,","0.118,","-0.033,","0.068,","-0.028,","-0.099,","0.002,","0.005,","-0.038,","0.021,","0.053,","0.101,"
,"0.167,","0.085,","-0.035,","-0.02,","0.009,","0.042,","-0.012,","0.036,","-0.13,","-0.043,","-0.061,","-0.051,","0.015,","0.077,","0.049,","0.002,","-0.098,","-0.027,","-0.004,","0.015,","0.113,","0.024,","-0.003,","-0.015,","0.031,","-0.015,","0,"
,"-0.123,","-0.113,","-0.187,","-0.206,","-0.107,","-0.129,","-0.105,","-0.071,","-0.058,","-0.14,","-0.122,","-0.298,","-0.059,","-0.084,","-0.144,","-0.036,","-0.202,","-0.086,","-0.046,","-0.103,","-0.064,","-0.023,","-0.029,","-0.079,","-0.155,","-0.131,","-0.027,"
,"-0.052,","-0.051,","-0.01,","-0.07,","-0.053,","-0.055,","0.021,","-0.027,","0.015,","0.001,","0.06,","0.101,","0.013,","0.08,","0.19,","0.064,","0.198,","-0.009,","0.063,","0.011,","-0.01,","-0.127,","-0.065,","0.084,","-0.074,","0.037,","0.043,"
,"-0.043,","0.067,","0.069,","0.079,","0.017,","0.094,","0.024,","0.066,","0.106,","0.05,","-0.007,","-0.001,","0.047,","-0.045,","-0.016,","0.035,","-0.053,","0.011,","0.043,","0.024,","0.034,","0.084,","0.065,","0.065,","0.038,","0.03,","0.012,"
,"-0.297,","-0.33,","-0.107,","-0.125,","-0.157,","-0.062,","-0.093,","-0.051,","-0.051,","-0.044,","-0.081,","-0.219,","-0.013,","-0.039,","-0.032,","-0.016,","0.213,","0.023,","-0.005,","-0.046,","-0.042,","-0.105,","-0.022,","-0.001,","-0.127,","-0.084,","0.014,"
,"-0.491,","-0.053,","-0.22,","-0.086,","-0.353,","-0.212,","-0.205,","-0.156,","-0.391,","-0.173,","-0.235,","-0.417,","-0.172,","-0.205,","-0.341,","-0.115,","-0.11,","-0.167,","-0.061,","-0.059,","-0.033,","-0.019,","-0.164,","-0.068,","-0.026,","-0.085,","-0.068,"
,"-0.052,","-0.139,","-0.152,","-0.181,","0.073,","-0.069,","-0.207,","-0.131,","-0.174,","0.081,","-0.12,","-0.279,","-0.078,","-0.117,","-0.263,","-0.037,","-0.233,","0.073,","0.023,","0.049,","-0.162,","-0.137,","-0.088,","-0.003,","0.067,","-0.11,","0.001,"
,"0.047,","-0.079,","-0.204,","0.001,","0.09,","-0.015,","0.01,","0.023,","-0.131,","-0.09,","-0.039,","-0.072,","0.031,","0.031,","-0.052,","0.021,","-0.004,","-0.034,","0.059,","-0.14,","-0.044,","0.154,","-0.039,","-0.039,","-0.002,","0.104,","0.007,"
,"-0.309,","0.056,","-0.09,","-0.008,","-0.302,","-0.082,","-0.092,","-0.089,","-0.312,","-0.206,","-0.251,","0.034,","-0.042,","0.089,","-0.227,","-0.036,","-0.181,","-0.056,","-0.067,","-0.065,","0.098,","-0.061,","-0.12,","-0.112,","-0.123,","-0.105,","-0.159,"
,"-0.183,","-0.009,","-0.279,","-0.249,","-0.202,","-0.027,","-0.169,","-0.189,","-0.296,","-0.152,","-0.278,","-0.28,","-0.165,","0.01,","-0.355,","-0.126,","-0.104,","-0.044,","-0.091,","-0.146,","-0.067,","-0.152,","-0.05,","-0.116,","-0.034,","-0.142,","0.045,"
,"0.179,","0.177,","0.13,","0.132,","0.136,","0.151,","0.191,","0.083,","0.191,","0.033,","0.188,","0.41,","0.108,","0.053,","0.238,","0.052,","0.163,","0.087,","0.044,","0.094,","0.058,","0.124,","0.138,","-0.022,","0.06,","0.053,","0.064,"
,"0.236,","0.197,","0.876,","0.126,","0.289,","0.152,","0.249,","0.206,","-0.197,","0.258,","0.252,","0.756,","0.122,","0.065,","0.798,","-0.005,","0.244,","-0.02,","-0.023,","0.158,","0.02,","-0.093,","0.103,","0.059,","0.033,","0.136,","-0.033,"
,"0.019,","0.079,","-0.015,","0.131,","-0.004,","-0.042,","0.035,","0.106,","-0.144,","-0.009,","0.065,","0.042,","-0.045,","0.035,","0.137,","0.063,","0.118,","0.142,","0.107,","0,","0.046,","0.138,","0.037,","0.051,","-0.033,","0.085,","-0.008,"
,"0.12,","0.049,","-0.058,","-0.052,","-0.068,","0.008,","-0.1,","-0.037,","0.134,","0.005,","-0.123,","-0.017,","0.128,","-0.018,","0.053,","0.03,","-0.076,","-0.015,","-0.017,","0.053,","-0.022,","0.028,","0.138,","-0.016,","0.002,","-0.012,","-0.026,"
,"0.139,","0.147,","0.219,","0.009,","0.35,","0.18,","0.208,","0.077,","0.003,","0.22,","0.143,","0.512,","0.12,","0.129,","0.243,","0.072,","0.135,","0.039,","-0.042,","0.173,","0.069,","0.073,","-0.011,","0.095,","0.074,","0.048,","0.03,"
,"0.027,","0.029,","0.194,","0.169,","0.028,","-0.019,","0.045,","0.037,","0.791,","0.013,","0.037,","-0.031,","0.037,","0.006,","0.222,","0.001,","0.125,","-0.022,","0.03,","0.03,","0.043,","0.081,","0.054,","-0.025,","-0.007,","0.097,","0.025,"
,"0.089,","0.102,","0.008,","0.09,","0.133,","0.09,","0.007,","0.055,","-0.102,","0.096,","0.188,","0.033,","0.053,","0.013,","-0.032,","0.007,","0.008,","0.11,","0.015,","0.024,","-0.008,","-0.013,","0.043,","0.07,","0.037,","0.027,","-0.035,"
,"-0.054,","0.017,","0.027,","-0.117,","0.08,","-0.031,","-0.01,","-0.003,","-0.215,","-0.034,","-0.132,","-0.244,","0.005,","0.008,","0.004,","-0.03,","-0.046,","-0.007,","0.027,","-0.003,","0.017,","-0.022,","0.078,","0.009,","-0.035,","0.009,","0.012,"
,"0.011,","0.061,","0.201,","0.106,","0.06,","0.026,","0.1,","0.104,","0.08,","0.162,","0.124,","0.064,","0.034,","0.052,","0.142,","0.073,","0.017,","0.081,","0.088,","0.059,","0.038,","0.171,","0.065,","0.075,","0.049,","0.1,","0.098,"
,"0.288,","0.054,","-0.031,","0.033,","-0.024,","0.023,","-0.026,","0.079,","0.042,","-0.011,","-0.05,","0.028,","0.052,","0.036,","0.053,","0.025,","-0.019,","-0.004,","-0.013,","0.068,","0.062,","0.019,","0.036,","-0.028,","0.041,","0.032,","-0.015,"
,"-0.211,","-0.089,","-0.067,","0.12,","-0.077,","-0.061,","-0.031,","-0.084,","0.434,","-0.061,","0.063,","-0.054,","-0.086,","-0.065,","-0.145,","-0.024,","-0.065,","-0.048,","0,","-0.026,","0.012,","0.045,","-0.075,","0.022,","-0.082,","-0.028,","0,"
,"0.047,","0.065,","0.014,","0.049,","0.092,","0.083,","0.047,","0.057,","-0.018,","0.082,","0.005,","-0.026,","0.079,","0.044,","0.012,","0.01,","0.078,","-0.028,","0.031,","0.002,","0.013,","-0.034,","0.022,","0.028,","-0.022,","0.024,","0.012,"
,"0.071,","0.148,","0.085,","0.15,","0.102,","0.07,","0.104,","0.117,","-0.025,","0.103,","0.133,","-0.027,","0.048,","0.009,","0.062,","0.035,","0.066,","0.052,","0.045,","0.043,","0.038,","0.023,","0.022,","0,","0.042,","0.072,","0.034,"
,"-0.057,","0.111,","0.118,","-0.002,","0.09,","0.035,","0.07,","0.055,","0.059,","-0.036,","0.036,","0.062,","-0.022,","0.006,","0.087,","-0.014,","-0.047,","-0.028,","0.058,","0.061,","0.033,","-0.062,","0.043,","-0.01,","0.025,","0.018,","-0.035,"
,"-0.131,","-0.016,","-0.135,","-0.109,","-0.108,","-0.14,","-0.082,","-0.093,","-0.08,","-0.072,","-0.133,","-0.114,","-0.115,","-0.024,","-0.127,","-0.085,","-0.07,","-0.038,","-0.045,","-0.1,","-0.043,","-0.039,","-0.151,","-0.017,","-0.068,","-0.096,","-0.052,"
